1	69090	70008	OR4F5
1	450739	451678	OR4F29
1	925730	944574	SAMD11
1	944202	959256	NOC2L
1	960583	965719	KLHL17
1	966481	975865	PLEKHN1
1	975197	982093	PERM1
1	998963	1000097	HES4
1	1013496	1014539	ISG15
1	1020119	1056114	AGRN
1	1070966	1074306	RNF223
1	1081822	1116089	C1orf159
1	1173879	1197935	TTLL10
1	1203507	1206592	TNFRSF18
1	1211339	1214153	TNFRSF4
1	1216907	1232067	SDF4
1	1232236	1235040	B3GALT6
1	1242452	1246722	C1QTNF12
1	1253911	1273854	UBE2J2
1	1280435	1292025	SCNN1D
1	1292390	1307930	ACAP3
1	1308579	1311677	PUSL1
1	1311584	1324687	INTS11
1	1324801	1328896	CPTP
1	1331279	1335314	TAS1R3
1	1335277	1349418	DVL1
1	1352688	1363541	MXRA8
1	1373735	1375207	AURKAIP1
1	1385710	1399335	CCNL2
1	1401908	1407293	MRPL20
1	1418419	1421444	ANKRD65
1	1426127	1427787	TMEM88B
1	1435689	1442882	VWA1
1	1449688	1470162	ATAD3C
1	1471764	1497848	ATAD3B
1	1512161	1534685	ATAD3A
1	1534777	1540624	TMEM240
1	1541672	1574863	SSU72
1	1598011	1600135	FNDC10
1	1615414	1630610	MIB2
1	1632172	1634654	MMP23B
1	1635224	1659004	CDK11B
1	1661477	1692795	SLC35E2B
1	1702378	1724357	CDK11A
1	1724837	1745999	SLC35E2A
1	1751231	1780031	NADK
1	1785284	1891117	GNB1
1	1915259	1917296	CALML6
1	1917590	1919279	TMEM52
1	1921956	2003786	CFAP74
1	2019344	2030758	GABRD
1	2050410	2185395	PRKCZ
1	2184459	2207733	FAAP20
1	2228318	2310213	SKI
1	2321252	2391554	MORN1
1	2391840	2405436	RER1
1	2404801	2412571	PEX10
1	2467450	2505532	PLCH2
1	2508536	2526596	PANK4
1	2528744	2530263	HES5
1	2556364	2565622	TNFRSF14
1	2586776	2591468	PRXL2B
1	2590639	2633016	MMEL1
1	2641268	2800868	TTC34
1	3021466	3022903	ACTRT2
1	3069202	3438621	PRDM16
1	3454664	3481113	ARHGEF16
1	3487950	3611508	MEGF6
1	3625014	3630127	TPRG1L
1	3630769	3650103	WRAP73
1	3652515	3736201	TP73
1	3752449	3771645	CCDC27
1	3772760	3775982	SMIM1
1	3778558	3796498	LRRC47
1	3812085	3857211	CEP104
1	3857266	3885429	DFFB
1	3889132	3900272	C1orf174
1	4654608	4792522	AJAP1
1	5862810	5992425	NPHP4
1	5992675	6101180	KCNAB2
1	6101786	6180321	CHD5
1	6185019	6199595	RPL22
1	6206118	6221299	RNF207
1	6221192	6235964	ICMT
1	6244178	6245578	HES3
1	6247352	6261098	GPR153
1	6264271	6393766	ACOT7
1	6415233	6419919	HES2
1	6424775	6460944	ESPN
1	6461153	6466195	TNFRSF25
1	6466091	6520061	PLEKHG5
1	6521346	6554513	NOL9
1	6555306	6579755	TAS1R1
1	6579993	6589280	ZBTB48
1	6590723	6602869	KLHL21
1	6613730	6624030	PHF13
1	6625149	6635586	THAP3
1	6634169	6701816	DNAJC11
1	6785453	7769706	CAMTA1
1	7771295	7781432	VAMP3
1	7784186	7845177	PER3
1	7847611	7853491	UTS2
1	7915870	7940839	TNFRSF9
1	7961710	7985505	PARK7
1	8011726	8026309	ERRFI1
1	8318113	8344165	SLC45A1
1	8352403	8817640	RERE
1	8860999	8878686	ENO1
1	8945867	8975089	CA6
1	9003299	9026345	SLC2A7
1	9035105	9072259	SLC2A5
1	9100304	9129102	GPR157
1	9234773	9271335	H6PD
1	9292893	9369531	SPSB1
1	9539464	9585173	SLC25A33
1	9588910	9614877	TMEM201
1	9651730	9729114	PIK3CD
1	9729020	9824526	CLSTN1
1	9848275	9910269	CTNNBIP1
